NearestNeighbor	dH0	dS0	OligoType	InteractionType	Reference
AA/rUrU	-11.5	-36.4	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
AC/rUrG	-7.8	-21.6	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
AG/rUrC	-7	-19.7	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
AT/rUrA	-8.3	-23.9	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
CA/rGrU	-10.4	-28.4	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
CC/rGrG	-12.8	-31.9	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
CG/rGrC	-16.3	-47.1	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
CT/rGrA	-9.1	-23.5	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
GA/rCrU	-8.6	-22.9	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
GC/rCrG	-8	-17.1	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
GG/rCrC	-9.3	-23.2	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
GT/rCrA	-5.9	-12.3	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
TA/rArU	-7.8	-23.2	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
TC/rArG	-5.5	-13.5	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
TG/rArC	-9	-26.1	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
TT/rArA	-7.8	-21.9	DNA/RNA	WatsonCrick	"Sugimoto,N. et al., Biochemistry, 34, 11211"
rArA/rUrU	-6.82	-19	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rArC/rUrG	-11.4	-29.5	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
